project,package,class,method,time
dheerajbsc,-,DepthFirstSearch,addEdge.(II)V,29
harrydet,com.example.harry.wakeup.adapters,ListTaskListAdapter,deleteItem.(I)V,29
eevans,SevenZip.Compression.LZ,InWindow,ReduceOffsets.(I)V,27
alexditu,ro.pub.cs.systems.pdsd.lab05.addressbook.controller,ContactAdapter,setCheckedItemPosition.(I)V,28
tkleisas,org.teacake.monolith.apk,SoundPoolManager,stopSound.(I)V,28
Jumping-alien-W-and-M,jumpingalien.model,World,setWindowWidth.(I)V,30
martincameron,micromod,Macro,transpose.(III)I,30
markcwal,com.codepath.apps.basictwitter,TimelineActivity,customLoadMoreDataFromApi.(I)V,41
clear2zero,com.ksy.media.player,BaseMediaPlayer,notifyOnVideoSizeChanged.(IIII)V,29
yitaohu,cs61b_project1,PixImage,getRed.(II)S,31
phdabel,ufrgs.maslab.abstractsimulator.variables,FireStation,clusteringMain.(I)V,34
beast1944,com.andreikushner.finana.app,NavigationDrawerFragment,selectItem.(I)V,29
fabiuz7,edu.umd.cloud9.util,ArrayListOfInts,ensureCapacity.(I)V,28
KenyStev,ChessChaturanga.Logica.Pieces,Elephant,validMovement.(II)Z,27
igorgatis,com.googlecode.compress_j2me.gzip,ZStream,readLittleEndian.(I)I,36
yxsu,com.petuum.ps.server,Server,clock.(II)Z,28
tliu17,-,DirectedMatrixGraph,areNeighbors.(II)Z,34
MikeLydeamore,cofh.gui.client,GuiFriendsList,drawGuiContainerForegroundLayer.(II)V,27
linsonzhao,video.app.autobahn,WebSocketOptions,setSocketReceiveTimeout.(I)V,34
srivathsarao,com.vertexnet.realestate.model.tablemodel,PaymentPlansTableModel,isCellEditable.(II)Z,32
wenjiang,com.zwb.simple.ui,SelectorDrawable,changeViewOn.(I)V,27
KenyStev,ChessChaturanga.Logica.Pieces,Advisor,validMovement.(II)Z,28
srivathsarao,com.vertexnet.realestate.model.tablemodel,CustomersTableModel,getValueAt.(II)Ljava/lang/Object;,29
divinebooger,huglife,HugLife,simulate.(II)V,35
sheryanresutov,gui,GamePanel,increaseScore.(I)V,27
netixx,fr.enst.infsi351.notedown.fragment,CutPdfRendererFragment,showPage.(II)V,29
frontiertsymbal,com.frontier.giphy.utils,CircularViewPagerHandler,handleScrollState.(I)V,36
jordanywhite,edu.up.cs301.othello,OthelloState,setTurn.(I)V,56
caseyjames,assignment5,MyLinkedList,remove.(I)Ljava/lang/Object;,32
sheryanresutov,GameBackEnd,Game,leave.(I)V,30
hpu-spring87,com.hpuvoice.XlistView,XListViewHeader,setVisiableHeight.(I)V,31
sheryanresutov,gui,CardGrid,animateRemoveCard.(I)V,28
TBtomislav,jxl.write.biff,RowRecord,insertColumn.(I)V,28
martincameron,ibxm,Data,load.(II)V,40
Mandrivia,main,ProblemData,setnY.(I)V,27
JsonHunt,com.squareup.okhttp.internal.spdy,Settings,getDownloadBandwidth.(I)I,27
clear2zero,com.ksy.media.widget,MediaPlayerControllerVolumeView,setVolume.(I)V,28
shred,org.shredzone.feinrip.gui,NoListSelectionModel,setSelectionInterval.(II)V,28
martincameron,ibxm,Data,uleInt.(I)I,33
martincameron,micromod,Channel,volumeSlide.(I)V,29
phil132,de.gistribution.beuth.phil.gistribution_v1,NavigationDrawerFragment,selectItem.(I)V,31
bradfordkyle11,com.kmbapps.classscheduler,SortByDialogFragment,onSortingKeySelected.(I)V,28
luizrogeriocn,-,ListaDeCantinas,buscarEstoque.(I)I,29
igorgatis,com.googlecode.compress_j2me.lzc,LZCOutputStream,write.(I)V,29
WyattPearson,-,HailstoneGUI,record.(II)V,29
billcchung,tw.billchung.taiwancoffeeprices,MainActivity,onSectionAttached.(I)V,33
StefanCiotec,ro.pub.cs.systems.pdsd.lab05.sample09baseadapter.controller,CartoonAdapter,getItemId.(I)J,32
netixx,fr.enst.infsi351.notedown.fragment,SideBySidePdfRendererFragment,clearMarkers.(I)V,32
abraxasson,at.abraxas.amarino.example.plugin.compass,MyEditActivity,getRate.(I)I,51
EricssonResearch,com.ericsson.research.owr.sdk,MediaStreamHandler,onSendSsrcChanged.(I)V,31
eevans,SevenZip.Compression.LZ,OutWindow,CopyBlock.(II)V,56
TomWerner,com.wernerapps.ezbongo.StopListing,ExpandableSwipeAdapter,getGroupId.(I)J,29
gpfjeff,com.gpfcomics.android.ppp,Cardset,setNumberOfRows.(I)V,29
AlecinVan,storm.ingress.kafka,StaticPartitionConnections,getConsumer.(I)Ljava/lang/Object;,32
MikeLydeamore,powercrystals.core.gui.controls,ListBox,setSelectedIndex.(I)V,29
mtudora,com.application.timmy.ui,OfficeMapView,onMeasure.(II)V,26
alexditu,ro.pub.cs.systems.pdsd.lab05.sample09baseadapter.controller,CartoonAdapter,getItemId.(I)J,26
naver,com.naver.android.rotatableviewsample,MainActivity,roundOrientation.(II)I,29
TheTemportalist,com.temportalist.thaumicexpansion.common.tile,TEThaumicAnalyzer,receiveGuiNetworkData.(II)V,27
ahielg,hebrewDate,CalendarUtils,getWeekdayOfHebrewDate.(III)I,30
yxsu,com.petuum.ps.thread,SSPRowRequestOpLogMgr,serverAcknowledgeVersion.(II)V,27
yxsu,com.petuum.ps.common.util,VectorClock,addClock.(II)V,28
bradfordkyle11,com.kmbapps.classscheduler,ClassLoader,releaseColor.(II)V,27
isince,com.ndsince.dictsv.Adapter,CustomAdapter,menuListDialogAction.(II)V,27
clear2zero,com.ksy.media.data,MediaPlayerUtils,isFullScreenMode.(I)Z,30
stefanil,org.devel.jfxcontrols.scene.control.skin.animation,VelocityTracker,computeCurrentVelocity.(I)V,30
fabiuz7,edu.umd.cloud9.util,ArrayListOfInts,lastIndexOf.(I)I,26
daniellebryant,edu.augustana.csc490.individualgame,GamePiece,contains.(II)Z,31
yxsu,com.petuum.ps.thread,SSPRowRequestOpLogMgr,cleanVersionOpLogs.(II)V,36
fabiuz7,edu.umd.cloud9.util,ArrayListOfInts,indexOf.(I)I,27
divinebooger,-,Board,unoccupy.(II)V,26
sheryanresutov,gui,GamePanel,setTimer.(I)V,28
n11com,com.n11.tech.endlessadapter.adapter,EndlessAdapter,getItem.(I)Ljava/lang/Object;,28
igrief15,-,Player,move.(I)I,34
martincameron,micromod,Note,periodToKey.(I)I,256
itot0103,ocha.itolab.koala.applet.koalaview,VectorParettePanel,draw.(I)V,47
TBtomislav,jxl.biff,FormattingRecords,getDateFormat.(I)Ljava/lang/Object;,28
jfeinstein10,com.jeremyfeinstein.slidingmenu.lib.app,SlidingMapActivity,setContentView.(I)V,27
divinebooger,-,Calculator,add.(II)I,28
PunchApp,com.android.volley.mock,MockHttpClient,setErrorCode.(I)V,28
WyattPearson,-,ReversiGame,flipLine.(IIII)V,28
jfeinstein10,com.jeremyfeinstein.slidingmenu.lib.app,SlidingPreferenceActivity,setBehindContentView.(I)V,26
Mandrivia,main,ProblemData,setNbTurn.(I)V,26
kinneyyan,com.yanshi.my36kr.activity,MainActivity,selectItem.(I)V,28
mithunkumarnallu,SchedulingAlgos,ProcessInfo,WaitForIO.(I)V,29
Rothens,hu.rothens.qlib.model,Quest,setRequest.(II)V,28
sheryanresutov,GameBackEnd,GameLobby,findPlayer.(I)Ljava/lang/Object;,29
alexditu,ro.pub.cs.systems.pdsd.lab05.sample11listfragment.controller,CartoonAdapter,getItemId.(I)J,28
vdzundza,main,HashMap,get.(I)Ljava/lang/Object;,30
TheTemportalist,com.temportalist.thaumicexpansion.common.tile,TEThaumicAnalyzer,getAugmentedEnergy.(I)I,27
Mandrivia,main,ProblemData,setCoverageRadius.(I)V,28
fabiuz7,edu.priceton.cs.graph,DigraphGenerator,tournament.(I)Ljava/lang/Object;,30
JsonHunt,com.squareup.okhttp.internal.spdy,Settings,getDownloadRetransRate.(I)I,28
yxsu,com.petuum.ps.common.util,VectorClock,getClock.(I)I,28
ahielg,hebrewDate,CalendarUtils,hebrewLeapYear.(I)Z,30
KenyStev,examen1labprg2,Empresa,extendsContract.(I)Z,28
AlecinVan,storm.ingress.tools,SlidingWindowCounter,slotAfter.(I)I,29
markatithinkbest,tcnr18.com.finalproject,NavigationDrawerFragment,selectItem.(I)V,29
sivang,org.kde.necessitas.origo,QtActivity,onCreatePanelView.(I)Ljava/lang/Object;,31
gpfjeff,com.gpfcomics.android.ppp,Cardset,setLastCard.(I)V,34
raphapacheco,br.com.backapp.finfacil.activity.spinner_adapter,CategoriaSpinnerAdapter,getItemId.(I)J,42
dcapwell,com.github.dcapwell.java.file.operations,NIOChmod,isSet.(II)Z,30
Freezard,com.example.lab6.dialer,DialerView,playSound.(I)V,30
KenyStev,ChessChaturanga.Logica.Pieces,King,validMovement.(II)Z,30
GugleGH,ru.nosov.server.db.tables.logic,UsersTypesDAOImpl,getUsersTypesById.(I)Ljava/lang/Object;,29
sheryanresutov,GameBackEnd,Game,setLock.(I)V,30
asutoshpalai,server,HTTPServer,runServer.(I)V,173
MikeLydeamore,powercrystals.core.gui.controls,Button,drawForeground.(II)V,46
danvo,android.bignerdranch.com.criminalintent,DatePickerFragment,sendResult.(I)V,44
zhangruoxu,VC.CodeGen,Frame,push.(I)V,37
fabiuz7,edu.umd.cloud9.util,ArrayListOfFloats,ensureCapacity.(I)V,34
aatxe,org.tomato.net.server.debug,LimitLinesDocumentListener,setLimitLines.(I)V,162
CMTelecom,com.cmtelecom.example.activities,RegistrationActivity,getCountryISOForCountryCode.(I)Ljava/lang/Object;,37
fabiuz7,edu.umd.cloud9.util,ArrayListOfInts,contains.(I)Z,32
WyattPearson,client,GameController,place.(II)V,31
JsonHunt,com.squareup.okhttp.internal.spdy,Settings,getCurrentCwnd.(I)I,29
Jumping-alien-W-and-M,jumpingalien.model,World,getProperYWindow.(I)I,31
Ehb-IPG13,be.ehb.ipg13.fastjobs,NavigationDrawerFragment,selectItem.(I)V,30
hpu-spring87,com.hpuvoice.app,ContentActivity,onPageScrollStateChanged.(I)V,29
mtudora,com.application.timmy.ui,OfficeMapView,measure.(I)I,30
WyattPearson,-,Board,unoccupy.(II)V,29
yxsu,com.petuum.ps.thread,SSPRowRequestOpLogMgr,opLogIterInit.(II)Ljava/lang/Object;,31
swapneshgandhi,com.cloudwick.training.logging,Calculator,calulate.(II)I,34
josinmartinez,Pruebas.LocalSearch,EightQueens,rowLessViolationsByColumn.(I)I,31
butlersrepos,dungeonDigger.entities.templates,ZombieTemplate,newStr.(I)I,29
linsonzhao,video.app.autobahn,WebSocketOptions,setMaxFramePayloadSize.(I)V,38
tkleisas,org.teacake.monolith.apk,SoundPoolManager,startMusic.(I)V,35
martincameron,micromod.compiler,Note,setRepeat.(I)V,29
RedingG,com.reding.qrcard,WelcomeActivity,onPageScrollStateChanged.(I)V,29
jhonnybsg,br.com.gamezes.screens,PlayerSelectScreen,mouseMoved.(II)Z,27
danielsnipher,br.com.fiap.blind,DesambiguaVoz,onInit.(I)V,29
immlf,ua.pp.lab101.synthesizercontrol.adregisters,ADRegister,clearStateByMask.(I)V,27
divinebooger,huglife,StdDraw,setCanvasSize.(II)V,324
asleepcat,org.eclipse.wb.swt,SWTResourceManager,getCursor.(I)Ljava/lang/Object;,34
divinebooger,huglife,StdDraw,show.(I)V,101
pfyuit,com.pfyuit.myalgorithm.datastructure.tree,Heap,trickleDown.(I)V,31
clhernandez,cl.usach.lab1.db.DAO.rrhh,DepartamentoDAO,getDepartamentoById.(I)Ljava/lang/Object;,31
zlim,jnt.scimark2,MonteCarlo,num_flops.(I)D,31
martincameron,ibxm,Sample,normaliseSampleIdx.(I)I,107
sheryanresutov,GameBackEnd,GameLobby,delPlayer.(I)V,29
KenyStev,-,Picture,get.(II)Ljava/awt/Color;,40
Mandrivia,main,ProblemData,isTarget.(II)Z,29
zhangruoxu,VC.CodeGen,Emitter,emitFLOAD.(I)V,38
jfedor2,org.jfedor.nxtremotecontrol,SquareImageButton,onMeasure.(II)V,32
PrudhviRaju123,akron.zippy.app,HomeScreen21,displayView.(I)V,28
WyattPearson,-,ReversiGame,flip.(II)V,29
jfeinstein10,com.jeremyfeinstein.slidingmenu.lib.app,SlidingFragmentActivity,setContentView.(I)V,28
igorgatis,com.googlecode.compress_j2me.lzc,LZCOutputStream,writeCode.(II)V,28
NanodegreeStudent,com.danilaeremin.nicecoffee.Fragments,NavigationDrawerFragment,selectItem.(I)V,28
ahielg,hebrewDate,CalendarUtils,gimatria.(I)Ljava/lang/Object;,28
clhernandez,cl.usach.lab1.finanzas.rmi.client,ClienteFinanzasRMI,eliminarOrden.(I)Z,33
immlf,ua.pp.lab101.synthesizercontrol.adregisters,ADRegister,setStateByMask.(I)V,28
divinebooger,-,StdDrawPlus,setCanvasSize.(II)V,97
DunnR,-,BinaryTree,add.(I)V,31
Mandrivia,main,ProblemData,setnX.(I)V,27
BoBinLee,com.skhu.service,DocumentService,getCalendarMenu.(II)Ljava/lang/Object;,29
TBtomislav,jxl.biff,FormattingRecords,isDate.(I)Z,30
RedingG,com.reding.qrcard,WelcomeActivity,setCurView.(I)V,35
daniellebryant,edu.augustana.csc490.individualgame,GamePiece,setOwner.(I)V,29
alexditu,ro.pub.cs.systems.pdsd.lab05.sample10listactivity.controller,CartoonAdapter,getItemId.(I)J,28
Jumping-alien-W-and-M,jumpingalien.model,World,getProperXWindow.(I)I,30
compgen-io,io.compgen.common.io,PeekableInputStream,peek.(I)[B,53
niosus,com.learnit.learnit.fragments.learn_fragments,AbstractLearnFragment,onAnimationStarted.(II)V,28
sheryanresutov,GameBackEnd,GameLobby,joinGame.(II)V,28
luizrogeriocn,-,ListaDeCantinas,retirarEstoque.(II)V,29
igorgatis,com.googlecode.compress_j2me.lzc,LZCOutputStream,writeBuffer.(I)V,29
voodoodyne,org.subethamail.smtp.server,SMTPServer,setMaxRecipients.(I)V,27
DHIS2,org.dhis2.mobile.utils.date.expiryday,SixMonthlyAprilExpiryDayValidator,monthOfYear.(I)I,44
TheTemportalist,com.temportalist.thaumicexpansion.common.block,BlockThaumicAnalyzer,damageDropped.(I)I,28
MikeLydeamore,powercrystals.core.gui.controls,ListBox,drawForeground.(II)V,30
cyanskies,au.edu.deakin.ice.meltdown,SoundManager,load.(I)I,30
igorgatis,com.googlecode.compress_j2me.lzc,LZCOutputStream,compress.(I)V,30
clhernandez,cl.usach.lab1.finanzas.rmi.client,ClienteFinanzasRMI,getOrdenProductoById.(I)Ljava/lang/Object;,29
lluidesia,com.stfalcon.lostandfound.tabs,SlidingTabLayout,setCustomTabView.(II)V,30
igrief15,-,Position,unoccupy.(I)V,35
lorinczpatrik,tema2_TP,Simulator,setVal.(I)V,28
neureal,org.noo4j.daemon,BtcDaemon,startListening.(III)V,27
alexditu,ro.pub.cs.systems.pdsd.lab05.addressbook.controller,ContactAdapter,getItemViewType.(I)I,30
StefanCiotec,ro.pub.cs.systems.pdsd.lab05.sample10listactivity.controller,CartoonAdapter,getItemId.(I)J,28
formychar,com.example.shahab123.seng301,page2,calculateTime.(I)V,30
Mandrivia,main,ProblemData,setTargetCovered.(II)V,28
immlf,ua.pp.lab101.synthesizercontrol.adregisters,ADRegister,clearBitByPosition.(I)V,40
Jumping-alien-W-and-M,jumpingalien.model,World,getProperYWindow.(I)I,30
martincameron,ibxm,Data,uleShort.(I)I,36
sheryanresutov,GameBackEnd,Game,addPlayerToSB.(I)Ljava/lang/Object;,29
igorgatis,com.googlecode.compress_j2me.lzc,LZCStream,writeCode.(II)V,29
WyattPearson,-,Board,occupy.(II)V,27
clrung,-,Heap,parent.(I)I,28
AdaptiveSystem,com.movie.worth.dao,Ratings,getRatingCountOfOneUser.(I)I,34
sheryanresutov,GameBackEnd,GameBoard,removeSet.(III)V,43
kinneyyan,com.yanshi.my36kr.adapter.index,FeedAdapter,getItemViewType.(I)I,37
butlersrepos,dungeonDigger.entities.templates,ZombieTemplate,newDex.(I)I,32
abraxasson,at.abraxas.amarino.plugins.accelerometer,EditActivity,getRate.(I)I,49
WyattPearson,-,Board,function.(I)I,33
yxsu,com.petuum.ps.server,Server,getBgVersion.(I)I,332
clear2zero,com.ksy.media.widget,MediaPlayerMovieRatioView,show.(I)V,42
vcsupser,io.netty.example.portunification,PortUnificationServerHandler,isHttp.(II)Z,31
DShamaev,com.hikimori911.mylastfmclient.appinterface,MainMenuFragment,selectItem.(I)V,31
StefanCiotec,ro.pub.cs.systems.pdsd.lab05.addressbook.controller,ContactAdapter,setCheckedItemPosition.(I)V,30
tkleisas,org.teacake.monolith.apk,SoundPoolManager,pauseMusic.(I)V,29
Jumping-alien-W-and-M,jumpingalien.model,World,getHash.(II)I,31
zhangruoxu,VC.CodeGen,Frame,pop.(I)V,31
divinebooger,huglife,StdDraw,isKeyPressed.(I)Z,102
eevans,SevenZip.Compression.LZMA,Base,StateUpdateChar.(I)I,41
jlnunn2372,main.java.bubblePopper,ScoreBoardController,comapreScore.(I)V,31
TheTemportalist,com.temportalist.thaumicexpansion.common.block,BlockThaumicAnalyzer,getTier.(I)I,29
clear2zero,com.ksy.media.widget,MediaPlayerLockView,show.(I)V,35
pfyuit,com.pfyuit.myalgorithm.datastructure.hash,HashTable,find.(I)Lcom/pfyuit/myalgorithm/datastructure/hash/HashTable$DataItem;,35
roma,com.rakuten.rit.roma.romac4j.connection,RomaSocketPool,init.(IIII)V,34
yojek,com.sflow.jmx,SFlowAgent,dsIndex.(I)V,33
shred,org.shredzone.feinrip.gui,JLabelGroup,setMinimumWidth.(I)V,1419
Tibolte,is.arontibo.library.VectorCompat,DrawableCompat,setLayoutDirection.(I)V,39
igrief15,-,Player,changeCoins.(I)V,39
TheTemportalist,com.temportalist.thaumicexpansion.common.tile,TEThaumicAnalyzer,installAugment.(I)Z,42
caseyjames,assignment9,PriorityQueueHEAP,percolateUp.(I)V,47
igorgatis,com.googlecode.compress_j2me.gzip,ZStream,write.(I)V,31
vcsupser,io.netty.example.portunification,PortUnificationServerHandler,isFactorial.(I)Z,30
BoBinLee,com.skhu.service,SkhuBrdService,addQnABrd.(II)Z,30
fabiuz7,edu.umd.cloud9.util,ArrayListOfFloats,get.(I)F,30
netixx,fr.enst.infsi351.notedown.fragment,SideBySidePdfRendererFragment,showPage.(II)V,28
MikeLydeamore,cofh.item,ItemBase,getIconFromDamage.(I)Ljava/lang/Object;,30
pfyuit,com.pfyuit.myalgorithm.datastructure.hash,HashTable,remove.(I)Lcom/pfyuit/myalgorithm/datastructure/hash/HashTable$DataItem;,29
immlf,ua.pp.lab101.synthesizercontrol.activity.main,MainActivity,onModeSelected.(I)V,30
IMORALESNW,com.nubware.healthyapp,ApplicationStep2,onExit.(I)V,28
supernova-cmu,CV,CrossValidationWithPruning,validate.(I)Ljava/lang/Object;,28
lluidesia,com.stfalcon.lostandfound.tabs,SlidingTabLayout,scrollToTab.(II)V,28
jfeinstein10,com.jeremyfeinstein.slidingmenu.lib.app,SlidingListActivity,setContentView.(I)V,26
niosus,com.learnit.learnit.fragments.learn_fragments,AbstractLearnFragment,fetchNewRandomWordsAsync.(II)V,28
eungju,cylon.creole,CreoleMarkupBuilder,charAt.(I)C,33
srivathsarao,com.vertexnet.realestate.model.tablemodel,InstallmentsTableModel,isCellEditable.(II)Z,26
divinebooger,-,Calculator,multiply.(II)I,33
divinebooger,-,Piece,move.(II)V,28
voodoodyne,org.subethamail.smtp.io,ThresholdingOutputStream,thresholdReached.(II)V,49
igrief15,-,Board,occupy.(II)V,26
yxsu,com.petuum.ps.server,Server,addClientBgPair.(II)V,47
Jumping-alien-W-and-M,jumpingalien.model,World,setYWindow.(I)V,44
fabiuz7,edu.umd.cloud9.util,ArrayListOfInts,set.(II)I,46
supernova-cmu,CV,CrossValidationWithPruning,shuffle.(I)V,27
fabiuz7,edu.umd.cloud9.util,ArrayListOfInts,shiftLastNToTop.(I)V,35
nutgaard,no.utgdev.nfpa,DiamondSettingsPanel,selectByState.(II)V,30
Mandrivia,main,ProblemData,setNbBalloon.(I)V,28
clear2zero,com.ksy.media.widget,MediaPlayerBufferingView,setBufferingProgress.(I)V,37
flypigrmvb,kankan.wheel.widget.adapters,NumericWheelAdapter,getItemText.(I)Ljava/lang/Object;,29
martincameron,micromod.compiler,AudioData,setSamplingRate.(I)V,28
luizrogeriocn,-,ListaDeCantinas,adicionarReferencia.(II)V,27
compgen-io,io.compgen.common,TallyCounts,incr.(I)V,34
Trololoshe4ki,-,Proba3,metodDelete.(I)V,29
TheTemportalist,com.temportalist.thaumicexpansion.common.block,BlockThaumicAnalyzer,getIcon.(II)Ljava/lang/Object;,29
KenyStev,Zero.Studio.Gato,Gato,set0.(II)V,742
supernova-cmu,CV,CrossValidation,shuffle.(I)V,60
Jumping-alien-W-and-M,jumpingalien.model,World,setXWindow.(I)V,36
zyq001,edu.bupt.zyq,MinStack,push.(I)V,106
srivathsarao,com.vertexnet.realestate.model.tablemodel,AgentsTableModel,isCellEditable.(II)Z,48
yxsu,com.petuum.ps.common.util,VectorClock,tick.(I)I,37
nefiga,fastpace.com.appme.action,Action,setActionChanngeDrawable.(I)V,30
jhonnybsg,br.com.gamezes.presenter,GameStartScreenPresenter,virifyMove.(I)V,31
ricardocaldeira,controle,Con_Lote_Ezeq,setIdLote.(I)V,35
clear2zero,com.ksy.media.widget,MediaPlayerBaseControllerView,show.(I)V,35
Artur-,org.vaadin.artur,DayValidator,setMonth.(I)V,31
jglewis93,com.example.jon.restroomradar,SchemaContract,getTitle.(I)Ljava/lang/Object;,32
chanueting,be.ac.ulg.montefiore.run.jahmm.learn,BaumWelchLearner,setNbIterations.(I)V,32
unaveed,asteroids,Debris,createDebris.(I)Ljava/lang/Object;,30
sephiroth74,it.sephiroth.android.library.overlaymenu,OverMenuView,setDefaultPosition.(I)V,28
jeremux,serveur,GraphImpl,aRecu.(I)Z,30
KenyStev,-,PalindromoAir,printPassengers.(I)V,30
vcsupser,io.netty.example.portunification,PortUnificationServerHandler,isGzip.(II)Z,39
yojek,com.sflow.jmx,SFlowAgent,pad.(I)I,31
srivathsarao,com.vertexnet.realestate.model.tablemodel,SitePaymentTableModel,isCellEditable.(II)Z,30
lorinczpatrik,tema2_TP,Simulator,closeHandler.(I)V,34
voxelcarrot,io.bunnies.fractalmaps.view,FractalView,onSizeChanged.(IIII)V,30
stefanil,com.jsyn.examples,DualOscilloscope,startAudio.(I)V,30
chrisschroeder92,edu.augustana.csc490.phoenix,Bullet,checkOnScreen.(I)Z,30
zlim,jnt.scimark2,FFT,log2.(I)I,119
Holmaren,ir,PostingsEntry,addOffset.(I)V,32
WyattPearson,ui,DrawPanel,setBounds.(IIII)V,275
rails-school,org.railsschool.tiramisu.views.patterns,ReminderSeekbarLabelPattern,_setCurrent.(I)V,34
luizrogeriocn,-,ListaDeCantinas,removerReferencia.(I)V,32
voodoodyne,org.subethamail.smtp.server,SMTPServer,setConnectionTimeout.(I)V,29
TheTemportalist,com.temportalist.thaumicexpansion.common.tile,TEThaumicAnalyzer,incrSide.(I)Z,30
sheryanresutov,gui,GamePanel,setGameID.(I)V,29
martincameron,micromod,Instrument,normalizeSampleIdx.(I)I,34
jglewis93,com.example.jon.restroomradar,SchemaContract,getDescription.(I)Ljava/lang/Object;,29
clrung,-,Heap,left.(I)I,28
bowser123467,com.dwarfscraft.musicbox,MusicThread,nextSong.(I)V,29
TBtomislav,jxl.write.biff,WritableWorkbookImpl,removeSheet.(I)V,34
divinebooger,-,StdDrawPlus,isKeyPressed.(I)Z,107
WyattPearson,ui,DrawPanel,resizeImage.(II)V,116
nwtgck,jp.dip.nwtgck.bindable.component,Arrangement,get.(I)Ljava/lang/Object;,31
TBtomislav,jxl.write.biff,WritableWorkbookImpl,getExternalSheetIndex.(I)I,30
patriciocordova,io.vov.vitamio.widget,CenterLayout,onMeasure.(II)V,30
NanodegreeStudent,com.danilaeremin.nicecoffee.Adapters,ProductCellAdapter,getProduct.(I)Ljava/lang/Object;,31
martincameron,ibxm,Data,uByte.(I)I,36
frigidrain,scheduler,TaskGroup,priority.(I)I,31
MikeLydeamore,powercrystals.core.gui.controls,ListBox,removeAt.(I)V,28
lydiaSidhom,Engine,Shifter,shift.(I)V,122
pfyuit,com.pfyuit.myalgorithm.datastructure.graph,PriorityQueue,trickleDown.(I)V,37
shred,org.shredzone.feinrip.gui,JLabelGroup,setVerticalAlignment.(I)V,190
dezouzart,service,SmartBusca,checaVisitados.(II)Z,30
sivang,org.kde.necessitas.origo,QtActivity,onCreateDialog.(I)Ljava/lang/Object;,30
clear2zero,com.ksy.media.widget,CenterLayout,onMeasure.(II)V,30
stickfigure,unsuck.lang,DateUtil,birthFloor.(I)Ljava/lang/Object;,29
sheryanresutov,GameBackEnd,GameBoard,processSubmit.(III)I,30
uqbar-project,com.uqbar.commons.descriptor,ClassForDescription,method4.(I)Ljava/lang/Object;,29
Mandrivia,main,ProblemData,setAltitudeChanges.(III)V,27
linsonzhao,video.app.autobahn,WebSocketOptions,setMaxMessagePayloadSize.(I)V,35
isince,com.ndsince.dictsv.Adapter,CustomAdapter,getItemId.(I)J,28
TheTemportalist,com.temportalist.thaumicexpansion.common.tile,TEThaumicAnalyzer,rotateDirectlyTo.(I)V,27
tkleisas,org.teacake.monolith.apk,LinearInterpolator,getValue.(I)F,30
JsonHunt,com.squareup.okhttp.internal.spdy,Settings,getClientCertificateVectorSize.(I)I,35
KenyStev,com.ZeroStudio.Algorimos.week1,WeightedQuickUnionUF,root.(I)I,28
zhangruoxu,VC.CodeGen,Emitter,emitILOAD.(I)V,35
tliu17,-,ClosedHashing,delete.(II)V,41
TBtomislav,jxl.write.biff,WritableWorkbookImpl,getExternalSheetName.(I)Ljava/lang/Object;,30
jfeinstein10,com.jeremyfeinstein.slidingmenu.lib.app,SlidingActivity,setContentView.(I)V,29
liulinru13,mmrx.com.myuserdefinedview,MainActivity,selectFragment.(I)V,29
double0291,io.vov.vitamio.widget,CenterLayout,onMeasure.(II)V,29
jhonnybsg,br.com.gamezes.screens,PlayerSelectScreen,touchUp.(IIII)Z,30
JsonHunt,com.squareup.okhttp.internal.spdy,Settings,getRoundTripTime.(I)I,31
divinebooger,huglife,StdDraw,setPenColor.(III)V,105
MikeLydeamore,powercrystals.core.gui.controls,ListBox,onMouseWheel.(III)Z,40
Tibolte,is.arontibo.library.VectorCompat,DrawableCompat,setHotspotBounds.(IIII)V,31
sheryanresutov,gui,GamePanel,addCard.(I)V,30
vdzundza,main,HashMap,getIndex.(I)I,34
immlf,ua.pp.lab101.synthesizercontrol.ftdiconverter,DataConverter,returnSetBitMask.(I)B,32
TheTemportalist,com.temportalist.thaumicexpansion.common.tile,TEThaumicAnalyzer,updateForTier.(I)V,30
TBtomislav,jxl.write.biff,WritableWorkbookImpl,getLastExternalSheetIndex.(I)I,32
hpu-spring87,com.hpuvoice.XlistView,XListViewFooter,setState.(I)V,32
clear2zero,com.ksy.media.player,BaseMediaPlayer,notifyOnBufferingUpdate.(I)V,32
TBtomislav,jxl.write.biff,RowRecord,setRowHeight.(I)V,30
KenyStev,com.ZeroStudio.Algorimos.week1,QuickUnionUF,connected.(II)Z,39
TomWerner,com.wernerapps.ezbongo.StopListing,ExpandableSwipeAdapter,isChildSelectable.(II)Z,26
Jumping-alien-W-and-M,jumpingalien.model,World,setYWindow.(I)V,27
jfeinstein10,com.jeremyfeinstein.slidingmenu.lib.app,SlidingFragmentActivity,setBehindContentView.(I)V,27
ey-,com.aje.logic16.app.GameLogic,GameLogic,updatePlayerAssignment.(I)V,28
Mandrivia,main,ProblemData,columnDist.(II)I,28
srivathsarao,com.vertexnet.realestate.model.tablemodel,SitesTableModel,isCellEditable.(II)Z,52
JsonHunt,com.squareup.okhttp.internal.spdy,Settings,get.(I)I,28
wujek-srujek,com.jambit.conti.ccss,CCSS,generateTouch.(III)V,28
MikeLydeamore,powercrystals.core.gui.controls,ListBox,onMousePressed.(III)Z,29
