project,package,class,method,time
niosus,com.learnit.learnit.fragments.learn_fragments,AbstractLearnFragment,fetchNewRandomWordsAsync.(I)V,28
TBtomislav,jxl.write.biff,WritableWorkbookImpl,getLastExternalSheetIndex.(I)I,29
StefanCiotec,ro.pub.cs.systems.pdsd.lab05.sample09baseadapter.controller,CartoonAdapter,getItemId.(I)J,27
KenyStev,ChessChaturanga.Logica.Pieces,Pawn,validMovement.(II)Z,29
TBtomislav,jxl.format,Colour,getInternalColour.(I)Ljava/lang/Object;,28
zhangruoxu,VC.CodeGen,Emitter,emitICONST.(I)V,74
gpfjeff,com.gpfcomics.android.ppp,Cardset,calculateCardWdith.(II)I,27
twitter,com.twitter.http2,HttpConnection,getReceiveWindowSizeLowerBound.(I)I,28
jordanywhite,edu.up.cs301.game,GameHumanPlayer,flash.(II)V,29
igrief15,-,Board,occupy.(II)V,26
abraxasson,at.abraxas.amarino.plugins.orientation,EditActivity,getRate.(I)I,45
fabiuz7,edu.umd.cloud9.util,ArrayListOfInts,lastIndexOf.(I)I,27
jhonnybsg,br.com.gamezes.presenter,GameStartScreenPresenter,virifyMove.(I)V,29
ParthoShuvo,com.apppreview.shuvojit.androiddatabase.databases,StudentDatabase,getStudentInfoList.(I)Ljava/lang/Object;,34
JsonHunt,com.squareup.okhttp.internal.tls,DistinguishedNameParser,getByte.(I)I,46
double0291,com.android.volley.toolbox,PoolingByteArrayOutputStream,write.(I)V,27
caseyjames,assignment9,PriorityQueueHEAP,swap.(II)V,29
alexditu,ro.pub.cs.systems.pdsd.lab05.addressbook.controller,ContactAdapter,setCheckedItemPosition.(I)V,26
pfyuit,com.pfyuit.myalgorithm.datastructure.hash,HashTable,find.(I)Lcom/pfyuit/myalgorithm/datastructure/hash/HashTable$DataItem;,27
eevans,SevenZip.Compression.LZMA,Base,StateUpdateMatch.(I)I,32
MikeLydeamore,powercrystals.core.gui.controls,Button,getTextColor.(II)I,28
jordanywhite,edu.up.cs301.othello,OthelloState,isLegalMove.(II)Z,28
alexditu,ro.pub.cs.systems.pdsd.lab05.sample09baseadapter.controller,CartoonAdapter,getItemId.(I)J,26
yojek,com.sflow.jmx,SFlowAgent,pad.(I)I,26
yxsu,com.petuum.ps.server,CallBackSubs,unsubscribe.(I)Z,28
sheryanresutov,GameBackEnd,GameLobby,joinGame.(II)V,28
divinebooger,-,Board,unoccupy.(II)V,32
beast1944,com.andreikushner.finana.app,NavigationDrawerFragment,selectItem.(I)V,27
sephiroth74,it.sephiroth.android.library.overlaymenu,OverMenuView,setDefaultPosition.(I)V,26
martincameron,ibxm,Data,load.(II)V,39
AdaptiveSystem,com.movie.worth.dao,Ratings,getRatingCountOfOneUser.(I)I,29
netixx,fr.enst.infsi351.notedown.util,PdfEngine,prepareRender.(I)Z,28
gpfjeff,com.gpfcomics.android.ppp,Cardset,setPasscodeLength.(I)V,28
nefiga,fastpace.com.appme.action,Action,setActionChanngeDrawable.(I)V,30
pinguo-zhangshuchun,kari.com.org.camerademo,CameraActivity,changeCameraZoom.(I)V,30
hpu-spring87,com.hpuvoice.app,ContentActivity,onPageScrollStateChanged.(I)V,26
KenyStev,com.ZeroStudio.Algorimos.week1,WeightedQuickUnionUF,union.(II)V,28
TheTemportalist,com.temportalist.thaumicexpansion.common.tile,TEThaumicAnalyzer,rotateDirectlyTo.(I)V,28
twitter,com.twitter.http2,HttpConnection,isRemoteSideClosed.(I)Z,40
KenyStev,com.ZeroStudio.Algorimos.week1,QuickUnionUF,union.(II)V,28
nemui,deep.dark.lonebrewer,LBWFCompanionConfigActivity,startColourPicking.(I)V,44
sheryanresutov,gui,Card,getID.(I)I,201
Trololoshe4ki,-,Proba3,deleteVertex.(I)V,29
StefanCiotec,ro.pub.cs.systems.pdsd.lab05.sample10listactivity.controller,CartoonAdapter,getItemViewType.(I)I,29
eevans,SevenZip.Compression.LZMA,Base,StateUpdateRep.(I)I,33
jfeinstein10,com.jeremyfeinstein.slidingmenu.lib.app,SlidingActivity,setBehindContentView.(I)V,27
igorgatis,com.googlecode.compress_j2me.lzc,LZCOutputStream,writeCode.(II)V,29
caseyjames,assignment5,MyLinkedList,get.(I)Ljava/lang/Object;,28
netixx,fr.enst.infsi351.notedown.fragment,SideBySidePdfRendererFragment,clearMarkers.(I)V,30
voxelcarrot,io.bunnies.fractalmaps.view,FractalView,onSizeChanged.(IIII)V,30
di-ruan,shared,RDSWrapper,deleteCoupon.(II)Z,29
jhonnybsg,br.com.gamezes.screens,PlayerSelectScreen,mouseMoved.(II)Z,28
supernova-cmu,CV,CrossValidation,shuffle.(I)V,30
tkleisas,org.teacake.monolith.apk,HighScoreTable,isHighScore.(I)Z,29
immlf,ua.pp.lab101.synthesizercontrol.adregisters,ADRegister,setStateByMask.(I)V,27
clhernandez,cl.usach.lab1.db.DAO.rrhh,TrabajadorDAO,eliminarTrabajador.(I)Z,31
TomWerner,com.wernerapps.ezbongo.StopListing,ExpandableSwipeAdapter,getGroupId.(I)J,28
PunchApp,com.android.volley.mock,MockHttpClient,setErrorCode.(I)V,29
stickfigure,unsuck.lang,DateUtil,birthFloor.(I)Ljava/lang/Object;,30
shred,org.shredzone.feinrip.gui,NoListSelectionModel,addSelectionInterval.(II)V,95
Rothens,hu.rothens.qlib.model,Quest,setRequest.(II)V,33
fabiuz7,edu.umd.cloud9.util,ArrayListOfInts,contains.(I)Z,29
StefanCiotec,ro.pub.cs.systems.pdsd.lab05.sample10listactivity.controller,CartoonAdapter,getItemId.(I)J,28
chanueting,be.ac.ulg.montefiore.run.jahmm.learn,BaumWelchLearner,setNbIterations.(I)V,29
linsonzhao,video.app.com.views,ScallingImageView,onMeasure.(II)V,34
igrief15,-,Player,move.(I)I,34
itot0103,ocha.itolab.koala.datagen.egotwitter,FeatureProcessor,addAccountClusters.(II)V,30
compgen-io,io.compgen.common,TallyCounts,incrementKey.(I)V,34
eevans,SevenZip.Compression.LZ,InWindow,ReduceOffsets.(I)V,27
divinebooger,huglife,StdDraw,isKeyPressed.(I)Z,118
srivathsarao,com.vertexnet.realestate.model.tablemodel,SitePaymentTableModel,isCellEditable.(II)Z,27
divinebooger,ngordnet,NGramMap,getRecord.(I)Ljava/lang/Object;,28
clhernandez,cl.usach.lab1.db.DAO.rrhh,DepartamentoDAO,eliminarDepartamento.(I)Z,28
pfyuit,com.pfyuit.myalgorithm.datastructure.hash,HashTable,hashFunc.(I)I,27
jfeinstein10,com.jeremyfeinstein.slidingmenu.lib.app,SlidingPreferenceActivity,findViewById.(I)Ljava/lang/Object;,28
hpu-spring87,com.hpuvoice.XlistView,XListViewFooter,setBottomMargin.(I)V,31
compgen-io,io.compgen.common,TallyCounts,getCount.(I)J,27
igorgatis,com.googlecode.compress_j2me.lzc,LZCOutputStream,compress.(I)V,28
hpu-spring87,com.hpuvoice.app,ChatActivity,isDeletePng.(I)Z,28
ey-,com.aje.logic16.app.GameLogic,GameLogic,updatePlayerAssignment.(I)V,27
sheryanresutov,gui,CardGrid,animateRemoveCard.(I)V,28
hpu-spring87,com.hpuvoice.XlistView,XListViewFooter,setState.(I)V,28
jeremux,serveur,TreeImpl,getCptMessage.(I)I,27
WyattPearson,ui,DrawPanel,setSize.(II)V,117
niosus,com.learnit.learnit.activities,HomeworkActivity,removeWordFromActiveList.(I)V,29
phdabel,ufrgs.maslab.abstractsimulator.variables,FireStation,act.(I)V,28
phdabel,ufrgs.maslab.abstractsimulator.algorithms,KMeans,initializeCentroids.(I)V,35
igorgatis,com.googlecode.compress_j2me.gzip,ZStream,readLittleEndian.(I)I,36
yojek,com.sflow.jmx,SFlowAgent,dsIndex.(I)V,27
Mandrivia,main,ProblemData,setnZ.(I)V,27
MikeLydeamore,powercrystals.core.gui.controls,Button,onMousePressed.(III)Z,42
harrisca,com.zephyrus.testapp.carletonenergyapp.app,MainActivity,setCurrentView.(I)V,29
KenyStev,-,BinaryStdOut,writeByte.(I)V,40
TBtomislav,jxl.biff.formula,Area3d,adjustRelativeCellReferences.(II)V,31
cyanskies,au.edu.deakin.ice.meltdown,SoundManager,stop.(I)V,28
butlersrepos,dungeonDigger.entities.templates,ZombieTemplate,update.(I)V,29
Notze,io.github.notze.redstoneswords,Events,toLevel.(II)I,75
tliu17,-,DirectedMatrixGraph,addEdge.(II)V,37
bradfordkyle11,com.kmbapps.classscheduler,AddClassSectionActivity,createSection.(I)Ljava/lang/Object;,30
stickfigure,unsuck.lang,DateUtil,calculateDaysAgoJoinedFloor.(I)Ljava/lang/Object;,29
clear2zero,com.ksy.media.data,MediaPlayerUtils,isFullScreenMode.(I)Z,30
gpfjeff,com.gpfcomics.android.ppp,Cardset,isValidCardNumber.(I)Z,29
danielsnipher,br.com.fiap.blind,MapRouteActivity,onInit.(I)V,30
clhernandez,cl.usach.lab1.rrhh.rmi.client,ClienteRrhhRMI,eliminarDepartamento.(I)Z,29
caseyjames,assignment8,HashTable,isPrime.(I)Z,30
igorgatis,com.googlecode.compress_j2me.lzc,LZCStream,readCode.(I)I,29
clhernandez,cl.usach.lab1.finanzas.rmi.client,ClienteFinanzasRMI,getProductoById.(I)Ljava/lang/Object;,29
uqbar-project,com.uqbar.commons.descriptor,ClassForDescription,method4.(I)Ljava/lang/Object;,29
pfyuit,com.pfyuit.myalgorithm.datastructure.graph,PriorityQueue,trickleUp.(I)V,34
igorgatis,com.googlecode.compress_j2me.gzip,ZStream,writeBits.(II)V,35
yxsu,com.petuum.ps.server,Server,findCreateRow.(II)Ljava/lang/Object;,28
kinneyyan,com.yanshi.my36kr.common.view.slidingTab,SlidingTabLayout,scrollToTab.(II)V,30
voodoodyne,org.subethamail.smtp.io,ThresholdingOutputStream,thresholdReached.(II)V,28
alkatena,aviones.modelo,ScoreMax,esMayorElPuntaje.(I)Z,33
TBtomislav,jxl.write.biff,WritableWorkbookImpl,getLastExternalSheetName.(I)Ljava/lang/Object;,29
clhernandez,cl.usach.lab1.db.DAO.finanzas,ClienteDAO,eliminarCliente.(I)Z,29
martincameron,micromod.compiler,AudioData,setSamplingRate.(I)V,27
clrung,-,Heap,left.(I)I,27
fabiuz7,edu.umd.cloud9.util,ArrayListOfFloats,ensureCapacity.(I)V,42
StefanCiotec,ro.pub.cs.systems.pdsd.lab05.addressbook.controller,ContactAdapter,getItemId.(I)J,44
sheryanresutov,GameBackEnd,GameLobby,findPlayer.(I)Ljava/lang/Object;,45
divinebooger,-,Piece,move.(II)V,28
Jumping-alien-W-and-M,jumpingalien.model,World,getProperYWindow.(I)I,28
Tibolte,is.arontibo.library.VectorCompat,DrawableCompat,setLayoutDirection.(I)V,27
ahielg,hebrewDate,CalendarUtils,hebrewLeapYear.(I)Z,28
markatithinkbest,tcnr18.com.finalproject,NavigationDrawerFragment,selectItem.(I)V,33
fabiuz7,edu.umd.cloud9.util,ArrayListOfInts,add.(II)V,51
TBtomislav,jxl.write.biff,RowRecord,removeColumn.(I)V,31
MikeLydeamore,powercrystals.core.gui.controls,ListBox,onMousePressed.(III)Z,28
nikit-cpp,player,CustomPlayer,play.(I)Z,28
alexditu,ro.pub.cs.systems.pdsd.lab05.sample10listactivity.controller,CartoonAdapter,getItemId.(I)J,27
immlf,ua.pp.lab101.synthesizercontrol.activity.main,MainActivity,onModeSelected.(I)V,29
sheryanresutov,gui,CardGrid,removeCard.(I)V,43
srivathsarao,com.vertexnet.realestate.model.tablemodel,PaymentPlansTableModel,isCellEditable.(II)Z,33
divinebooger,-,StdDrawPlus,isKeyPressed.(I)Z,99
divinebooger,huglife,StdDraw,show.(I)V,90
alkatena,aviones.modelo,ScoreMax,actualizarPuntaje.(I)V,32
KenyStev,ChessChaturanga.Logica.Pieces,Horse,validMovement.(II)Z,28
NanodegreeStudent,com.danilaeremin.nicecoffee.Adapters,SubcategoryAdapter,getCategory.(I)Ljava/lang/Object;,28
shred,org.shredzone.feinrip.gui,NoListSelectionModel,setSelectionInterval.(II)V,27
divinebooger,-,Board,drawBoard.(II)V,312
divinebooger,-,ExceptionDemo,printPositiveNumber.(I)V,34
Jumping-alien-W-and-M,jumpingalien.model,World,setYWindow.(I)V,28
Mandrivia,main,ProblemData,columnDist.(II)I,29
nutgaard,no.utgdev.nfpa,DiamondSettingsPanel,selectByState.(II)V,28
ricardocaldeira,controle,Con_Lote_Ezeq,setIdLote.(I)V,32
DShamaev,com.hikimori911.mylastfmclient.appinterface,MainMenuAdapter,isPositionHeader.(I)Z,31
KenyStev,Zero.Studio.Gato,Gato,setX.(II)V,34
niosus,com.learnit.learnit.fragments.learn_fragments,AbstractLearnFragment,onAnimationStarted.(II)V,27
tecnomatico,com.freelancersteam.www.java.tomafoto.dominio.dao.imp,EmpleadoDaoImp,getEmpleadoDni.(I)Ljava/lang/Object;,28
TBtomislav,jxl.biff,FormattingRecords,isDate.(I)Z,28
luizrogeriocn,-,ListaDeCantinas,getEstoqueByPort.(I)I,28
The-WUUSTER,markov,monteCarlo,indexLookup.(I)I,38
jfeinstein10,com.jeremyfeinstein.slidingmenu.lib.app,SlidingPreferenceActivity,setContentView.(I)V,27
divinebooger,-,Board,function.(I)I,27
CaptainSpam,net.exclaimindustries.drivelapse,DriveLapse,switchButtonStates.(I)V,27
clear2zero,com.ksy.media.widget,MediaPlayerBaseControllerView,show.(I)V,31
Jumping-alien-W-and-M,jumpingalien.model,World,setWindowHeight.(I)V,26
sheryanresutov,gui,CardGrid,removeCard.(II)V,27
voodoodyne,org.subethamail.smtp.io,CRLFOutputStream,write.(I)V,26
martincameron,ibxm,Envelope,calculateAmpl.(I)I,27
sivang,org.kde.necessitas.origo,QtActivity,onCreateDialog.(I)Ljava/lang/Object;,28
boulderalf,com.boulderalf.markdown2mm,ToMmSerializer,createNode.(I)Ljava/lang/Object;,34
double0291,com.android.volley.toolbox,PoolingByteArrayOutputStream,expand.(I)V,40
avoajaugochukwu,com.biito.masterflow,WebpageListFragment,setActivatedPosition.(I)V,34
martincameron,ibxm,Sample,normaliseSampleIdx.(I)I,137
vcsupser,io.netty.example.portunification,PortUnificationServerHandler,isFactorial.(I)Z,41
linsonzhao,video.app.autobahn,WebSocketOptions,setMaxMessagePayloadSize.(I)V,36
jeremux,serveur,TreeImpl,aRecu.(I)Z,29
jhonnybsg,br.com.gamezes.screens,PlayerSelectScreen,keyDown.(I)Z,30
JsonHunt,com.squareup.okhttp.internal.spdy,Settings,getDownloadRetransRate.(I)I,27
BoBinLee,com.skhu.service,SkhuBrdService,addQnABrd.(II)Z,29
luizrogeriocn,-,ListaDeCantinas,referenciaCadastrada.(I)Z,28
WyattPearson,ui,DrawPanel,resizeImage.(II)V,107
Jumping-alien-W-and-M,jumpingalien.model,World,setWindowHeight.(I)V,38
alexditu,ro.pub.cs.systems.pdsd.lab05.sample10listactivity.controller,CartoonAdapter,getItemViewType.(I)I,29
TheTemportalist,com.temportalist.thaumicexpansion.common.tile,TEThaumicAnalyzer,updateForTier.(I)V,28
lorinczpatrik,tema2_TP,Simulator,setVal.(I)V,27
supernova-cmu,CV,CrossValidationWithPruning,shuffle.(I)V,28
sheryanresutov,GameBackEnd,Game,disconnectPlayer.(I)V,27
PunchApp,com.android.volley.toolbox,PoolingByteArrayOutputStream,expand.(I)V,29
juancki,com.juancarlosgomez.threeonthree,MainActivity,setCurrentFlat.(I)V,29
divinebooger,-,ObjectList,get.(I)Ljava/lang/Object;,29
yxsu,com.petuum.ps.common.util,VectorClock,isUniqueMin.(I)Z,28
JsonHunt,org.apache.cordova,CordovaBridge,jsSetNativeToJsBridgeMode.(II)V,27
jordanywhite,edu.up.cs301.othello,OthelloState,setTurn.(I)V,28
abraxasson,at.abraxas.amarino.plugins.accelerometer,EditActivity,getRate.(I)I,45
allen-dolph,com.allendolph.f1results,NavigationDrawerFragment,selectItem.(I)V,28
fabiuz7,edu.umd.cloud9.util,ArrayListOfInts,shiftLastNToTop.(I)V,34
zhangruoxu,VC.CodeGen,Emitter,emitALOAD.(I)V,35
frigidrain,scheduler,TaskGroup,setDuration.(I)V,26
martincameron,micromod,Channel,waveform.(II)I,27
AdaptiveSystem,com.movie.worth.dao,Ratings,checkIfThisUserRatedThisMovie.(II)Ljava/lang/Object;,27
JsonHunt,com.squareup.okhttp.internal.spdy,Settings,set.(III)V,28
CMTelecom,com.cmtelecom.example.activities,RegistrationActivity,getCountryISOForCountryCode.(I)Ljava/lang/Object;,44
caseyjames,assignment5,MyLinkedList,remove.(I)Ljava/lang/Object;,29
ey-,com.aje.logic16.app.serverApi,api,getHighScore.(I)Ljava/lang/Object;,32
clear2zero,com.ksy.media.player,BaseMediaPlayer,notifyOnBufferingUpdate.(I)V,33
gpfjeff,com.gpfcomics.android.ppp,Cardset,isValidNumberOfRows.(I)Z,33
TymchenkoIvan,com.company.web.controller,ProductsServlet,setPages.(II)I,41
nwtgck,jp.dip.nwtgck.bindable.component,Arrangement,get.(I)Ljava/lang/Object;,31
divinebooger,-,GenericList,get.(I)Ljava/lang/Object;,30
immlf,ua.pp.lab101.synthesizercontrol.activity.accessory,ReadDataFromCSVFileActivity,checkTime.(III)Z,52
ronenfilho,com.imagery.imagerymedical,FullScreenViewActivity,adjustImageAspect.(II)V,44
RedingG,com.reding.qrcard,WelcomeActivity,onPageSelected.(I)V,29
twitter,com.twitter.http2,HttpHeaderBlockEncoder,setEncoderMaxHeaderTableSize.(I)V,32
JPII,-,Bullet,increaseX.(I)V,31
TheTemportalist,com.temportalist.thaumicexpansion.common.tile,TEThaumicAnalyzer,installAugment.(I)Z,30
bitcrystal,de.bitcrystal.decentralizedexchange.security,BitCrystalKeyGenerator,getByteSizeHash.(I)I,38
sheryanresutov,gui,GamePanel,setGameID.(I)V,30
ronenfilho,com.imagery.imagerymedical,MainActivity,displayView.(I)V,30
martincameron,micromod,Channel,updateSampleIdx.(II)V,31
jfeinstein10,com.jeremyfeinstein.slidingmenu.lib.app,SlidingMapActivity,setContentView.(I)V,28
GugleGH,ru.nosov.SMSreader.db.adapters,AdapterPSTv1,getItemViewType.(I)I,30
luizrogeriocn,-,ListaDeCantinas,removerReferencia.(I)V,30
PrudhviRaju123,akron.zippy.app,HomeScreen21,displayView.(I)V,30
alexditu,ro.pub.cs.systems.pdsd.lab05.sample11listfragment.controller,CartoonAdapter,getItemId.(I)J,28
Jumping-alien-W-and-M,jumpingalien.model,World,setXWindow.(I)V,28
ey-,com.aje.logic16.app.serverApi,api,getScore.(I)Ljava/lang/Object;,29
roma,com.rakuten.rit.roma.romac4j.connection,RomaSocketPool,init.(IIII)V,31
jfeinstein10,com.jeremyfeinstein.slidingmenu.lib.app,SlidingActivityHelper,findViewById.(I)Ljava/lang/Object;,31
JsonHunt,com.squareup.okhttp.internal.spdy,Settings,getUploadBandwidth.(I)I,27
divinebooger,-,StdDrawPlus,setPenColor.(III)V,102
AxelSilvestre,fr.sedara.pusher.model,Game,playerForward.(II)Z,29
igorgatis,com.googlecode.compress_j2me.gzip,ZStream,byteAtDistance.(I)I,30
billcchung,tw.billchung.taiwancoffeeprices,NavigationDrawerFragment,selectItem.(I)V,28
jhonnybsg,br.com.gamezes.screens,PlayerSelectScreen,keyUp.(I)Z,27
Tyrtle,trevorwarner.individualgame,UpgradesShop,increasePrice.(II)I,32
gpfjeff,com.gpfcomics.android.ppp,Cardset,setNumberOfRows.(I)V,30
jfeinstein10,com.jeremyfeinstein.slidingmenu.lib.app,SlidingPreferenceActivity,setBehindContentView.(I)V,34
divinebooger,-,Board,occupy.(II)V,25
martincameron,ibxm,Data,ubeShort.(I)I,32
butlersrepos,dungeonDigger.entities.templates,ZombieTemplate,newStr.(I)I,27
vcsupser,io.netty.example.portunification,PortUnificationServerHandler,isHttp.(II)Z,29
clrung,-,Heap,heapifyDown.(I)V,29
clhernandez,cl.usach.lab1.finanzas.rmi.client,ClienteFinanzasRMI,getOrdenProductoById.(I)Ljava/lang/Object;,29
TBtomislav,jxl.write.biff,RowRecord,getCell.(I)Ljava/lang/Object;,29
divinebooger,huglife,StdDraw,setCanvasSize.(II)V,90
thergbway,gui,MazeVisualizer,addAppropriateFlagIfPossible.(II)V,46
raphapacheco,br.com.backapp.finfacil.activity.spinner_adapter,CategoriaSpinnerAdapter,getItemId.(I)J,42
lluidesia,com.stfalcon.lostandfound.tabs,SlidingTabLayout,setCustomTabView.(II)V,45
yxsu,com.petuum.ps.server,ServerRow,unsubscribe.(I)V,31
pfyuit,com.pfyuit.myalgorithm.datastructure.tree,Heap,trickleUp.(I)V,28
sheryanresutov,GameBackEnd,GameLobby,findGame.(I)Ljava/lang/Object;,28
Freezard,com.example.lab6.dialer,DialerView,playSound.(I)V,27
clear2zero,com.ksy.media.player,BaseMediaPlayer,notifyOnVideoSizeChanged.(IIII)V,30
srivathsarao,com.vertexnet.realestate.model.tablemodel,SitesTableModel,isCellEditable.(II)Z,56
zyq001,edu.bupt.zyq,CountandSay,countAndSay.(I)Ljava/lang/String;,75
yxsu,com.petuum.ps.server,Server,addRowRequest.(IIII)V,30
unaveed,asteroids,Debris,createDebris.(I)Ljava/lang/Object;,29
kinneyyan,com.yanshi.my36kr.activity,MainActivity,selectItem.(I)V,33
patriciocordova,io.vov.vitamio.widget,CenterLayout,onMeasure.(II)V,33
tliu17,-,DirectedMatrixGraph,areNeighbors.(II)Z,33
StefanCiotec,ro.pub.cs.systems.pdsd.lab05.addressbook.controller,ContactAdapter,setCheckedItemPosition.(I)V,28
RomanStoyko,com.storoman.app,MainActivity,delayedHide.(I)V,30
mtudora,com.application.timmy.ui,OfficeMapView,onMeasure.(II)V,27
jlnunn2372,bubblePopper,ScoreBoardController,addScoreToList.(II)V,28
DHIS2,org.dhis2.mobile.utils.date.expiryday,SixMonthlyAprilExpiryDayValidator,monthOfYear.(I)I,33
igorgatis,com.googlecode.compress_j2me.gzip,ZStream,readBits.(I)I,35
bitcrystal,de.bitcrystal.decentralizedexchange.security,BitCrystalKeyGenerator,getByteSizeKey.(I)I,35
Shanmathi1,edu.uic.cs583.msgsp,Input,min.(II)I,38
zyq001,edu.bupt.zyq,FactorialTrailingZeroes,trailingZeroes.(I)I,81
bradfordkyle11,com.kmbapps.classscheduler,SortByDialogFragment,onSortingKeySelected.(I)V,28
SvenDub,nl.svendubbeld.car.activity,CarActivity,onConnectionSuspended.(I)V,29
divinebooger,-,Calculator,add.(II)I,30
divinebooger,huglife,HugLifeUtils,randomInt.(I)I,30
voodoodyne,org.subethamail.smtp.io,ExtraDotOutputStream,write.(I)V,30
igorgatis,com.googlecode.compress_j2me.gzip,ZStream,checkNoEOF.(I)V,41
zlim,jnt.scimark2,FFT,log2.(I)I,153
shred,org.shredzone.feinrip.gui,JLabelGroup,setVerticalAlignment.(I)V,136
twitter,com.twitter.http2,HttpConnection,getSendWindowSize.(I)I,30
TBtomislav,jxl.write.biff,RowRecord,removeCell.(I)V,28
yxsu,com.petuum.ps.thread,SSPRowRequestOpLogMgr,opLogIterInit.(II)Ljava/lang/Object;,29
jordanywhite,edu.up.cs301.game.config,GameConfig,removePlayer.(I)V,34
divinebooger,huglife,StdDraw,setPenColor.(III)V,96
Ehb-IPG13,be.ehb.ipg13.fastjobs,NavigationDrawerFragment,selectItem.(I)V,29
bradfordkyle11,com.kmbapps.classscheduler,NavigationDrawerFragment,selectItem.(I)V,29
martincameron,micromod.compiler,AudioData,resample.(II)Lmicromod/compiler/AudioData;,29
twitter,com.twitter.http2,HttpConnection,getPendingWrite.(I)Ljava/lang/Object;,28
linsonzhao,video.app.autobahn,WebSocketOptions,setSocketReceiveTimeout.(I)V,31
butterflylove,practice,FourSum,isSame.(IIII)Z,78
martincameron,micromod,Note,transpose.(II)I,181
tliu17,-,MatrixGraph,areNeighbors.(II)Z,33
clear2zero,com.ksy.media.widget,MediaPlayerView,doScreenOrientationRotate.(I)V,27
jfeinstein10,com.jeremyfeinstein.slidingmenu.lib.app,SlidingFragmentActivity,setBehindContentView.(I)V,27
clear2zero,com.ksy.media.widget,MediaPlayerView,convertAngle2Orientation.(I)I,28
yxsu,com.petuum.ps.thread,SSPRowRequestOpLogMgr,cleanVersionOpLogs.(II)V,39
caseyjames,FinalProject,PriorityQueueHEAP,swap.(II)V,29
jfeinstein10,com.jeremyfeinstein.slidingmenu.lib.app,SlidingActivity,findViewById.(I)Ljava/lang/Object;,28
WyattPearson,ui,DrawPanel,setBounds.(IIII)V,106
linsonzhao,video.app.autobahn,WebSocketOptions,setSocketConnectTimeout.(I)V,31
clrung,-,Heap,heapifyUp.(I)V,34
harithan81,com.lm.service,BookService,placeHoldOnBook.(I)Ljava/lang/Object;,30
immlf,ua.pp.lab101.synthesizercontrol.ftdiconverter,DataConverter,returnSetBitMask.(I)B,27
divinebooger,-,StdDrawDemo,drawBoard.(I)V,36
KenyStev,-,PalindromoAir,income.(I)D,28
bradfordkyle11,com.kmbapps.classscheduler,ClassLoader,releaseColor.(II)V,25
luizrogeriocn,-,ListaDeCantinas,adicionarReferencia.(II)V,29
stefanil,com.jsyn.examples,DualOscilloscope,startAudio.(I)V,28
Mandrivia,main,ProblemData,setnX.(I)V,26
jlnunn2372,main.java.bubblePopper,ScoreBoardController,comapreScore.(I)V,28
fabiuz7,edu.umd.cloud9.util,ArrayListOfInts,get.(I)I,29
kinneyyan,com.yanshi.my36kr.adapter.index,FeedAdapter,getItemViewType.(I)I,30
igorgatis,com.googlecode.compress_j2me.gzip,ZStream,write.(I)V,30
n11com,com.n11.tech.endlessadapter.adapter,EndlessAdapter,getItem.(I)Ljava/lang/Object;,30
flypigrmvb,kankan.wheel.widget.adapters,NumericWheelAdapter,getItemText.(I)Ljava/lang/Object;,40
MikeLydeamore,powercrystals.core.gui.controls,ListBox,setSelectedIndex.(I)V,29
fabiuz7,edu.priceton.cs.graph,DigraphGenerator,tournament.(I)Ljava/lang/Object;,29
TheTemportalist,com.temportalist.thaumicexpansion.common.block,BlockThaumicAnalyzer,getIcon.(II)Ljava/lang/Object;,29
eevans,SevenZip.Compression.RangeCoder,Decoder,DecodeDirectBits.(I)I,34
JsonHunt,org.apache.cordova,LinearLayoutSoftKeyboardDetect,onMeasure.(II)V,28
stefanil,org.devel.jfxcontrols.scene.control.skin.animation,VelocityTracker,computeCurrentVelocity.(I)V,31
jlnunn2372,main.java.bubblePopper,ScoreBoardController,setHighScore.(I)V,26
TomWerner,com.wernerapps.ezbongo.StopListing,ExpandableSwipeAdapter,isChildSelectable.(II)Z,26
josinmartinez,Pruebas.LocalSearch,EightQueens,rowLessViolationsByColumn.(I)I,27
TheTemportalist,com.temportalist.thaumicexpansion.common.tile,TEThaumicAnalyzer,getAugmentedEnergy.(I)I,26
srivathsarao,com.vertexnet.realestate.model.tablemodel,CustomersTableModel,getValueAt.(II)Ljava/lang/Object;,28
igorgatis,com.googlecode.compress_j2me.gzip,ZStream,writeInternal.(I)V,29
RedingG,com.reding.qrcard,WelcomeActivity,setCurDot.(I)V,35
tphoney,com.android.neverheardthat,Collection,getArtist.(I)Ljava/lang/Object;,28
jlnunn2372,bubblePopper,ScoreBoardController,setHighScore.(I)V,37
Tibolte,is.arontibo.library.VectorCompat,DrawableCompat,setHotspotBounds.(IIII)V,29
clhernandez,cl.usach.lab1.finanzas.rmi.client,ClienteFinanzasRMI,getOrdenById.(I)Ljava/lang/Object;,30
Mandrivia,main,ProblemData,setCoverageRadius.(I)V,28
sheryanresutov,gui,GamePanel,increaseScore.(I)V,28
jeremux,serveur,GraphImpl,getCptMessage.(I)I,31
yxsu,com.petuum.ps.common.util,VectorClock,addClock.(II)V,29
martincameron,ibxm,Data,uleInt.(I)I,35
TBtomislav,jxl.write.biff,RowRecord,setRowHeight.(I)V,29
kawsar-ahmed,demo,Demo,multiply.(II)I,47
martincameron,ibxm,Data,sByte.(I)B,35
igrief15,-,Board,function.(I)I,36
